counter_id,date,time,count,workday,weather
9000000619-1,2020-09-09,10.0,139.8373983739836,1,good
9000000619-1,2020-09-09,11.0,134.13461538461547,1,good
9000000619-1,2020-09-09,12.0,180.30560271646823,1,good
9000000619-1,2020-09-09,15.0,287.0159453302959,1,good
9000000619-1,2020-09-09,16.0,243.2989690721642,1,good
9000000619-1,2020-09-09,17.0,158.8431590656289,1,good
9000000619-1,2020-09-09,18.0,159.6125186289123,1,good
9000000619-1,2020-09-10,7.0,185.75581395348888,1,good
9000000619-1,2020-09-10,8.0,155.675675675675,1,good
9000000619-1,2020-09-10,9.0,159.9353796445881,1,good
9000000619-1,2020-09-10,10.0,116.5677280086347,1,good
9000000619-1,2020-09-10,11.0,151.15562403698,1,good
9000000619-1,2020-09-10,12.0,178.42565597667578,1,good
9000000619-1,2020-09-10,15.0,275.77919639504324,1,good
9000000619-1,2020-09-10,16.0,297.30941704035797,1,good
9000000619-1,2020-09-10,17.0,192.08711433756838,1,good
9000000619-1,2020-09-10,18.0,209.19786096256672,1,good
9000000619-1,2020-09-11,7.0,168.8756515264331,1,good
9000000619-1,2020-09-11,8.0,140.3854773644107,1,good
9000000619-1,2020-09-11,9.0,141.21065375302658,1,good
9000000619-1,2020-09-11,10.0,147.0612755314716,1,good
9000000619-1,2020-09-11,11.0,187.1186440677959,1,good
9000000619-1,2020-09-11,12.0,189.30041152263357,1,good
9000000619-1,2020-09-11,16.0,252.3238380809591,1,good
9000000619-1,2020-09-11,17.0,219.7183098591554,1,good
9000000619-1,2020-09-11,18.0,161.2716763005783,1,good
9000000619-1,2020-09-12,7.0,66.5736217725053,0,good
9000000619-1,2020-09-12,8.0,80.0684345594525,0,good
9000000619-1,2020-09-12,9.0,63.06569343065699,0,good
9000000619-1,2020-09-12,10.0,90.1701323251418,0,good
9000000619-1,2020-09-12,11.0,82.20472440944879,0,good
9000000619-1,2020-09-12,12.0,111.4551083591333,0,good
9000000619-1,2020-09-12,15.0,122.90184921763868,0,good
9000000619-1,2020-09-12,16.0,90.22556390977442,0,good
9000000619-1,2020-09-12,17.0,93.23741007194249,0,good
9000000619-1,2020-09-12,18.0,94.60227272727269,0,good
9000000619-1,2020-09-13,7.0,40.0695652173914,0,good
9000000619-1,2020-09-13,8.0,38.4615384615385,0,good
9000000619-1,2020-09-13,9.0,45.135406218656,0,good
9000000619-1,2020-09-13,10.0,51.6252390057362,0,good
9000000619-1,2020-09-13,11.0,74.6887966804979,0,good
9000000619-1,2020-09-13,12.0,57.8423871461361,0,good
9000000619-1,2020-09-13,15.0,77.7895855472901,0,good
9000000619-1,2020-09-13,16.0,74.02597402597411,0,good
9000000619-1,2020-09-13,17.0,60.3638958259008,0,good
9000000619-1,2020-09-13,18.0,68.07272727272729,0,good
9000000619-1,2020-09-14,7.0,195.17266988488677,1,good
9000000619-1,2020-09-14,8.0,156.5825242718446,1,good
9000000619-1,2020-09-14,9.0,138.0097879282219,1,good
9000000619-1,2020-09-14,10.0,110.077519379845,1,good
9000000619-1,2020-09-14,11.0,123.10139165009949,1,good
9000000619-1,2020-09-14,12.0,144.0559440559442,1,good
9000000619-1,2020-09-14,15.0,326.7816954238558,1,good
9000000619-1,2020-09-14,16.0,261.1469806304592,1,good
9000000619-1,2020-09-14,17.0,170.35950110051328,1,good
9000000619-1,2020-09-14,18.0,143.7927311982727,1,good
9000000619-1,2020-09-15,7.0,192.2930179320873,1,good
9000000619-1,2020-09-15,8.0,117.83097215437219,1,good
9000000619-1,2020-09-15,9.0,99.7690531177829,1,good
9000000619-1,2020-09-15,10.0,130.3822937625755,1,good
9000000619-1,2020-09-15,11.0,94.0024479804162,1,good
9000000619-1,2020-09-15,12.0,125.8252427184466,1,good
9000000619-1,2020-09-15,13.0,172.4452554744526,1,good
9000000619-1,2020-09-15,14.0,224.5472837022141,1,good
9000000619-1,2020-09-15,17.0,223.3480176211457,1,good
9000000619-1,2020-09-15,18.0,210.4890148830616,1,good
9000000619-1,2020-09-16,7.0,188.6519696422115,1,good
9000000619-1,2020-09-16,8.0,142.0118343195266,1,good
9000000619-1,2020-09-16,9.0,144.0587995100041,1,good
9000000619-1,2020-09-16,10.0,124.8843663274746,1,good
9000000619-1,2020-09-16,11.0,164.29143314651702,1,good
9000000619-1,2020-09-16,12.0,148.48143982002262,1,good
9000000619-1,2020-09-16,13.0,199.6737357259386,1,good
9000000619-1,2020-09-16,14.0,241.14832535885142,1,good
9000000619-1,2020-09-16,15.0,338.461538461539,1,good
9000000619-1,2020-09-16,17.0,196.52928416485946,1,good
9000000619-1,2020-09-16,18.0,168.6092241687524,1,good
9000000619-1,2020-09-17,7.0,151.1969760604783,1,good
9000000619-1,2020-09-17,8.0,166.8004377964248,1,good
9000000619-1,2020-09-17,9.0,141.287284144427,1,good
9000000619-1,2020-09-17,10.0,144.6124763705105,1,good
9000000619-1,2020-09-17,11.0,163.6363636363634,1,good
9000000619-1,2020-09-17,12.0,168.7500000000002,1,good
9000000619-1,2020-09-17,13.0,244.9905482041581,1,good
9000000619-1,2020-09-17,14.0,241.08352144469623,1,good
9000000619-1,2020-09-17,17.0,209.30232558139528,1,good
9000000619-1,2020-09-17,18.0,153.98230088495592,1,good
9000000619-1,2020-09-18,7.0,204.3282972641897,1,good
9000000619-1,2020-09-18,8.0,169.2910580691127,1,good
9000000619-1,2020-09-18,9.0,189.8089171974521,1,good
9000000619-1,2020-09-18,10.0,176.86009255962978,1,good
9000000619-1,2020-09-18,11.0,194.0665701881334,1,good
9000000619-1,2020-09-18,12.0,206.5189048239899,1,good
9000000619-1,2020-09-18,16.0,339.5229357798157,1,good
9000000619-1,2020-09-18,17.0,169.5183321351542,1,good
9000000619-1,2020-09-18,18.0,175.6097560975605,1,good
9000000619-1,2020-09-19,7.0,48.5294117647059,0,good
9000000619-1,2020-09-19,8.0,61.923377638780295,0,good
9000000619-1,2020-09-19,9.0,84.21052631578941,0,good
9000000619-1,2020-09-19,10.0,86.30793819925408,0,good
9000000619-1,2020-09-19,12.0,143.7945791726106,0,good
9000000619-1,2020-09-19,15.0,119.09385113268598,0,good
9000000619-1,2020-09-19,16.0,91.6030534351144,0,good
9000000619-1,2020-09-19,17.0,91.71974522293,0,good
9000000619-1,2020-09-19,18.0,96.3597430406852,0,good
9000000619-1,2020-09-20,7.0,22.52346193952035,0,good
9000000619-1,2020-09-20,8.0,37.1287128712871,0,good
9000000619-1,2020-09-20,9.0,37.5,0,good
9000000619-1,2020-09-20,10.0,52.31607629427801,0,good
9000000619-1,2020-09-20,11.0,52.15100965759439,0,good
9000000619-1,2020-09-20,12.0,83.6167565325591,0,good
9000000619-1,2020-09-20,13.0,87.732342007435,0,good
9000000619-1,2020-09-20,14.0,56.2909090909091,0,good
9000000619-1,2020-09-20,15.0,116.08695652173913,0,good
9000000619-1,2020-09-20,16.0,96.9827586206897,0,good
9000000619-1,2020-09-20,17.0,65.2916073968706,0,good
9000000619-1,2020-09-20,18.0,96.05122732123789,0,good
9000000619-1,2020-09-21,7.0,182.75475923852161,1,good
9000000619-1,2020-09-21,8.0,169.2079940784608,1,good
9000000619-1,2020-09-21,9.0,151.7386722866177,1,good
9000000619-1,2020-09-21,10.0,148.9761092150172,1,good
9000000619-1,2020-09-21,11.0,160.85106382978728,1,good
9000000619-1,2020-09-21,12.0,166.8004377964247,1,good
9000000619-1,2020-09-21,13.0,204.530744336569,1,good
9000000619-1,2020-09-21,14.0,273.02996670366247,1,good
9000000619-1,2020-09-21,16.0,336.17647058823405,1,good
9000000619-1,2020-09-21,17.0,247.60532949225822,1,good
9000000619-1,2020-09-21,18.0,185.01992031872553,1,good
9000000619-1,2020-09-22,7.0,237.3451327433629,1,good
9000000619-1,2020-09-22,8.0,158.4824624194704,1,good
9000000619-1,2020-09-22,9.0,145.5696202531645,1,good
9000000619-1,2020-09-22,10.0,138.5108656929106,1,good
9000000619-1,2020-09-22,11.0,170.053475935829,1,good
9000000619-1,2020-09-22,12.0,177.5666788454511,1,good
9000000619-1,2020-09-22,13.0,173.6377025036822,1,good
9000000619-1,2020-09-22,14.0,253.14581791265653,1,good
9000000619-1,2020-09-22,17.0,290.7238995998537,1,good
9000000619-1,2020-09-22,18.0,223.18548387096752,1,good
9000000619-1,2020-09-23,8.0,212.76906238599,1,good
9000000619-1,2020-09-23,9.0,176.92027666545312,1,good
9000000619-1,2020-09-23,10.0,186.0939206406984,1,good
9000000619-1,2020-09-23,11.0,128.6692015209125,1,good
9000000619-1,2020-09-23,12.0,198.36187639612757,1,good
9000000619-1,2020-09-23,13.0,183.9698762775687,1,good
9000000619-1,2020-09-23,14.0,302.2574257425736,1,good
9000000619-1,2020-09-23,18.0,206.2412668840247,1,good
9000000619-1,2020-09-24,7.0,152.4890829694325,1,good
9000000619-1,2020-09-24,8.0,168.44396082698591,1,good
9000000619-1,2020-09-24,9.0,121.631067961165,1,good
9000000619-1,2020-09-24,10.0,105.837239028547,1,good
9000000619-1,2020-09-24,11.0,158.43520782396092,1,good
9000000619-1,2020-09-24,12.0,185.279468732706,1,good
9000000619-1,2020-09-24,13.0,183.9098954143199,1,good
9000000619-1,2020-09-24,14.0,263.92961876832777,1,good
9000000619-1,2020-09-24,16.0,332.4925816023739,1,good
9000000619-1,2020-09-24,17.0,198.0669144981419,1,good
9000000619-1,2020-09-24,18.0,165.5172413793102,1,good
9000000619-1,2020-09-25,8.0,241.09136006614278,1,good
9000000619-1,2020-09-25,9.0,185.62288295069607,1,good
9000000619-1,2020-09-25,10.0,178.8819875776395,1,good
9000000619-1,2020-09-25,11.0,184.4452635458896,1,good
9000000619-1,2020-09-25,12.0,219.6107784431138,1,good
9000000619-1,2020-09-25,13.0,298.7380497131921,1,good
9000000619-1,2020-09-25,14.0,322.8260869565207,1,good
9000000619-1,2020-09-25,15.0,319.0056134723349,1,good
9000000619-1,2020-09-25,17.0,199.8499624906231,1,good
